,Conservative,Green,Labour,Lib Dem,Plaid Cymru,SNP,UKIP
artificial intel,1.0,0.0,0.0,1.0,0.0,0.0,0.0
automation,0.0,0.0,0.0,1.0,0.0,0.0,0.0
crypt,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cyber,12.0,0.0,4.0,2.0,0.0,1.0,1.0
data,33.0,1.0,2.0,6.0,0.0,1.0,2.0
digital,65.0,0.0,9.0,8.0,1.0,3.0,1.0
drone,1.0,0.0,0.0,0.0,0.0,0.0,0.0
internet,12.0,1.0,2.0,4.0,0.0,0.0,1.0
robot,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tech,4.0,0.0,2.0,3.0,0.0,0.0,0.0
technolog,35.0,0.0,10.0,18.0,1.0,3.0,5.0
virtual real,1.0,0.0,0.0,0.0,0.0,0.0,0.0
