,Lib Dem,Labour,UKIP,Conservative
2017-09-16 00:00:00,5.0,,,
2017-09-16 01:00:00,3.0,,,
2017-09-16 02:00:00,4.0,,,
2017-09-16 03:00:00,3.0,,,
2017-09-16 04:00:00,3.0,,,
2017-09-16 05:00:00,15.0,,,
2017-09-16 06:00:00,31.0,,,
2017-09-16 07:00:00,65.0,,,
2017-09-16 08:00:00,177.0,,,
2017-09-16 09:00:00,97.0,,,
2017-09-16 10:00:00,145.0,,,
2017-09-16 11:00:00,268.0,,,
2017-09-16 12:00:00,240.0,,,
2017-09-16 13:00:00,182.0,,,
2017-09-16 14:00:00,127.0,,,
2017-09-16 15:00:00,121.0,,,
2017-09-16 16:00:00,103.0,,,
2017-09-16 17:00:00,268.0,,,
2017-09-16 18:00:00,322.0,,,
2017-09-16 19:00:00,175.0,,,
2017-09-16 20:00:00,136.0,,,
2017-09-16 21:00:00,115.0,,,
2017-09-16 22:00:00,130.0,,,
2017-09-16 23:00:00,45.0,,,
2017-09-17 00:00:00,49.0,,,
2017-09-17 01:00:00,24.0,,,
2017-09-17 02:00:00,12.0,,,
2017-09-17 03:00:00,15.0,,,
2017-09-17 04:00:00,14.0,,,
2017-09-17 05:00:00,20.0,,,
2017-09-17 06:00:00,57.0,,,
2017-09-17 07:00:00,88.0,,,
2017-09-17 08:00:00,210.0,,,
2017-09-17 09:00:00,240.0,,,
2017-09-17 10:00:00,441.0,,,
2017-09-17 11:00:00,486.0,,,
2017-09-17 12:00:00,280.0,,,
2017-09-17 13:00:00,402.0,,,
2017-09-17 14:00:00,357.0,,,
2017-09-17 15:00:00,189.0,,,
2017-09-17 16:00:00,301.0,,,
2017-09-17 17:00:00,278.0,,,
2017-09-17 18:00:00,217.0,,,
2017-09-17 19:00:00,164.0,,,
2017-09-17 20:00:00,115.0,,,
2017-09-17 21:00:00,147.0,,,
2017-09-17 22:00:00,82.0,,,
2017-09-17 23:00:00,33.0,,,
2017-09-18 00:00:00,20.0,,,
2017-09-18 01:00:00,8.0,,,
2017-09-18 02:00:00,11.0,,,
2017-09-18 03:00:00,4.0,,,
2017-09-18 04:00:00,14.0,,,
2017-09-18 05:00:00,28.0,,,
2017-09-18 06:00:00,94.0,,,
2017-09-18 07:00:00,203.0,,,
2017-09-18 08:00:00,202.0,,,
2017-09-18 09:00:00,175.0,,,
2017-09-18 10:00:00,384.0,,,
2017-09-18 11:00:00,179.0,,,
2017-09-18 12:00:00,196.0,,,
2017-09-18 13:00:00,224.0,,,
2017-09-18 14:00:00,213.0,,,
2017-09-18 15:00:00,189.0,,,
2017-09-18 16:00:00,157.0,,,
2017-09-18 17:00:00,246.0,,,
2017-09-18 18:00:00,233.0,,,
2017-09-18 19:00:00,99.0,,,
2017-09-18 20:00:00,56.0,,,
2017-09-18 21:00:00,93.0,,,
2017-09-18 22:00:00,79.0,,,
2017-09-18 23:00:00,39.0,,,
2017-09-19 00:00:00,12.0,,,
2017-09-19 01:00:00,23.0,,,
2017-09-19 02:00:00,12.0,,,
