,Lib Dem,Labour,UKIP,Conservative
2017-09-16,0.006834532374100719,,,
2017-09-17,0.006870409855484482,,,
2017-09-18,0.006039415130324221,,,
2017-09-19,0.0035536602700781805,,,
2017-09-24,,0.006639194139194139,,
2017-09-25,,0.009065520945220193,,
2017-09-26,,0.010553945425712254,,
2017-09-27,,0.009346271705822268,,
2017-09-29,,,0.0012301498546186534,
2017-09-30,,,0.0022413793103448275,
2017-10-01,,,,0.008396081828480043
2017-10-02,,,,0.015421797675221545
2017-10-03,,,,0.01633191316697099
2017-10-04,,,,0.006967670011148272
